Altium Designer Pick and Place Locations
D:\ADcreate\CSUEAF4\Project Outputs for CSUEAF4\Pick Place for CSUEAF4.csv

========================================================================================================================
File Design Information:

Date:       30/01/20
Time:       17:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"J7","0.96OLED","TopLayer","OLED_0.96-SPI__无定位孔","50.9270","73.4060","0","","43.3070","73.4060","43.3070","73.4060"
"L1","10uH","TopLayer","L0603","57.2770","42.4209","270","","57.2770","42.5590","57.2770","43.2702"
"C12","106","TopLayer","C0603","54.2163","41.3450","360","Capacitor","53.3400","41.3450","53.3400","41.3450"
"C11","106","TopLayer","C0603","54.2163","43.3070","360","Capacitor","53.3400","43.3070","53.3400","43.3070"
"C23","225","TopLayer","C0603","61.9633","61.5950","360","Capacitor","61.0870","61.5950","61.0870","61.5950"
"BAT?","BATT","BottomLayer","BATM","85.5964","89.6745","90","","85.5980","89.6620","76.9964","89.6620"
"C13","22pF","TopLayer","C0603","16.0353","78.6130","180","Capacitor","16.9116","78.6130","16.9116","78.6130"
"USB2","USB","TopLayer","MICRO-USB-5P4脚无定位孔","4.9912","69.7230","270","","3.5560","69.7230","6.2162","71.0230"
"USB1","USB","TopLayer","MICRO-USB-5P4脚无定位孔","4.9553","50.5460","270","","3.5202","50.5460","6.1804","51.8460"
"D5","1N4148","BottomLayer","DO-35","68.1990","86.9950","180","开关二极管","68.1990","86.9950","64.3890","86.9950"
"D3","1N4148","BottomLayer","DO-35","68.1990","89.6620","180","开关二极管","68.1990","89.6620","64.3890","89.6620"
"C25","104","BottomLayer","C0603","65.2907","84.3280","180","Capacitor","66.1670","84.3280","66.1670","84.3280"
"J8","DAC_ADC","TopLayer","2.54排针2X3","91.8210","17.2720","270","","90.5510","19.8120","90.5510","19.8120"
"D1","SMBJ3.3A","BottomLayer","SMBJ","13.7160","28.3210","360","TVS","13.5890","28.3210","11.1760","28.3210"
"D2","SMBJ5.0A","TopLayer","SMBJ","14.2240","38.6080","180","TVS","14.3510","38.6080","16.7640","38.6080"
"J5","MPU6050","TopLayer","2.54排针1X6","42.2910","31.0954","270","","42.2910","29.8254","42.2910","37.4454"
"BEEP1","蜂鸣器","TopLayer","蜂鸣器0905","16.5100","90.2970","0","","16.5100","90.2970","13.7600","90.2970"
"C1","15pF","TopLayer","C0603","66.4083","36.7030","180","Capacitor","67.2846","36.7030","67.2846","36.7030"
"C2","15pF","TopLayer","C0603","62.4967","36.7030","360","Capacitor","61.6204","36.7030","61.6204","36.7030"
"C3","22pF","TopLayer","C0603","54.7243","36.7030","180","Capacitor","55.6006","36.7030","55.6006","36.7030"
"C4","104","TopLayer","C0603","12.0777","12.1920","360","Capacitor","11.2014","12.1920","11.2014","12.1920"
"C5","22pF","TopLayer","C0603","50.6857","36.7030","360","Capacitor","49.8094","36.7030","49.8094","36.7030"
"C8","电解电容106","TopLayer","3216-ce","15.9235","33.2740","90","Polarized Capacitor (Axial)","15.9235","34.6710","15.9235","34.6710"
"C9","钽电容106","TopLayer","3216-ce","20.0660","39.3700","90","Polarized Capacitor (Axial)","20.0660","40.7670","20.0660","40.7670"
"C7","电容104","BottomLayer","C0603","20.9677","40.7670","180","Capacitor","21.8440","40.7670","21.8440","40.7670"
